Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;T100:GS48;1566;Test;2110;97.829962290024;97.49739489912707;97.66339547737402;99.31791966661085
1;T100:GS48;1566;GS91;92;89.3359375;85.46337817638266;87.35676088617265;97.38972353707896
2;T100:GS48;1566;Test;2110;98.9337281256238;98.34479793637145;98.6383839724028;99.61772123120708
2;T100:GS48;1566;GS91;92;87.36313868613139;85.79749103942652;86.5732368896926;96.26200079531898
3;T100:GS48;1566;Test;2110;98.88524065027629;98.645086040232;98.76501735694518;99.66048064167319
3;T100:GS48;1566;GS91;92;91.1212814645309;88.25354609929079;89.6644899797343;97.02827640031218
4;T100:GS48;1566;Test;2110;98.97098576320059;98.5270900609975;98.74853906320237;99.63547756851035
4;T100:GS48;1566;GS91;92;92.07877461706784;89.53191489361703;90.78748651564186;97.53621024339256
5;T100:GS48;1566;Test;2110;99.09570208222104;98.44363781015365;98.76859373570912;99.6399784118682
5;T100:GS48;1566;GS91;92;92.41348713398403;89.70714900947459;91.04020979020979;97.66102731349368
6;T100:GS48;1566;Test;2110;99.17643958360786;98.64028046263229;98.90763342477456;99.69247045932109
6;T100:GS48;1566;GS91;92;92.2180607573866;89.17505030181087;90.67103109656301;97.89924139272516
7;T100:GS48;1566;Test;2110;99.02199683877765;98.99102954489342;99.00651077034513;99.7652724814269
7;T100:GS48;1566;GS91;92;89.69917958067457;90.31665901789812;90.00686027898469;97.81127962946144
8;T100:GS48;1566;Test;2110;99.21752191986586;98.76727810136487;98.9918880533942;99.71375853761965
8;T100:GS48;1566;GS91;92;89.90620812862885;86.65518725785623;88.2507672073652;96.8792745326511
9;T100:GS48;1566;Test;2110;99.1865589966575;98.93634284871284;99.06129291944549;99.77796963575943
9;T100:GS48;1566;GS91;92;89.73981345115367;88.22393822393822;88.9754198101728;96.76661161224749
10;T100:GS48;1566;Test;2110;99.22227556409025;98.94518471235936;99.08353641484558;99.76707983660475
10;T100:GS48;1566;GS91;92;92.54587155963303;91.66982203710715;92.10576374357997;98.1147263175733
1;T100:GS36;1434;Test;2110;99.17297111416782;98.53089393395855;98.85088989622875;99.67768041524809
1;T100:GS36;1434;GS91;92;93.65570599613153;90.47085201793722;92.03573465120701;98.46333264732112
2;T100:GS36;1434;Test;2110;99.34346120603684;98.8309411998148;99.08653846153845;99.73918315278941
2;T100:GS36;1434;GS91;92;91.09995435874029;89.42652329749103;90.25548270404701;97.30727716866443
3;T100:GS36;1434;Test;2110;99.27722042373152;98.97742342659018;99.12709525143018;99.76656766573798
3;T100:GS36;1434;GS91;92;91.71146953405018;90.73581560283688;91.22103386809269;97.49054451581918
4;T100:GS36;1434;Test;2110;99.3117985118994;98.89666307857911;99.10379605742177;99.73966185457834
4;T100:GS36;1434;GS91;92;94.0864960282436;90.72340425531915;92.37435008665511;98.08869643123786
5;T100:GS36;1434;Test;2110;99.19735442701409;98.93922065867767;99.06811939357225;99.75208751091473
5;T100:GS36;1434;GS91;92;92.921881743634;92.72179155900086;92.82172882086657;98.22666123114554
6;T100:GS36;1434;Test;2110;99.38775510204081;98.92860653320665;99.15764929968309;99.7634226673412
6;T100:GS36;1434;GS91;92;93.48547717842324;90.66398390342052;92.05311542390193;98.31550282046294
7;T100:GS36;1434;Test;2110;99.35001732187341;99.12435190519298;99.23705632271036;99.82585345102628
7;T100:GS36;1434;GS91;92;90.92159559834938;91.00504818724185;90.96330275229359;98.21542094269367
8;T100:GS36;1434;Test;2110;99.4068491477818;99.0715465530731;99.23891462607544;99.79225501430079
8;T100:GS36;1434;GS91;92;91.2;88.33405079638399;89.74415044828342;97.33522468210143
9;T100:GS36;1434;Test;2110;99.33499830055122;99.16500700745003;99.2499298654894;99.83221476510067
9;T100:GS36;1434;GS91;92;89.96138996138995;89.96138996138995;89.96138996138995;97.10964299326642
10;T100:GS36;1434;Test;2110;99.50992168356316;99.1510412510971;99.33015730911882;99.82774832137521
10;T100:GS36;1434;GS91;92;94.63734567901234;92.88148428625522;93.75119434358876;98.52991018471445
1;T100:GS24;1302;Test;2110;99.37079887912805;98.74271852952732;99.05576310107277;99.74465591337835
1;T100:GS24;1302;GS91;92;95.00580720092915;91.70403587443946;93.32572732458641;98.69657679906703
2;T100:GS24;1302;Test;2110;99.30271460986799;99.140154772141;99.22136810836304;99.7932831767871
2;T100:GS24;1302;GS91;92;91.01423487544484;91.66666666666666;91.33928571428572;97.64812815997274
3;T100:GS24;1302;Test;2110;99.45833333333334;99.16116765462476;99.30952819093186;99.81848694148452
3;T100:GS24;1302;GS91;92;93.80090497737557;91.88829787234043;92.83475145544111;97.97682655940446
4;T100:GS24;1302;Test;2110;99.4419542402477;99.10477215644062;99.27307688851748;99.80045644974273
4;T100:GS24;1302;GS91;92;95.4424778761062;91.7872340425532;93.57917570498915;98.36742820168234
5;T100:GS24;1302;Test;2110;99.34718692380525;99.12982944657152;99.23838916820151;99.79684339390003
5;T100:GS24;1302;GS91;92;93.91716997411562;93.75538329026702;93.83620689655173;98.52221769262128
6;T100:GS24;1302;Test;2110;99.45125357342359;99.16450968185839;99.30767463989237;99.81821120667036
6;T100:GS24;1302;GS91;92;94.58901280462618;92.15291750503019;93.35507541785569;98.59949426181677
7;T100:GS24;1302;Test;2110;99.5623885329282;99.236276849642;99.39906521255286;99.86250588717887
7;T100:GS24;1302;GS91;92;93.75873311597577;92.38182652592933;93.06518723994452;98.55598946508037
8;T100:GS24;1302;Test;2110;99.43920025079244;99.2714943927671;99.3552765524262;99.83105212346504
8;T100:GS24;1302;GS91;92;91.38461538461539;89.49634093844166;90.43062200956938;97.5277369674249
9;T100:GS24;1302;Test;2110;99.49160558051548;99.31400752378845;99.40272722574548;99.86251384635435
9;T100:GS24;1302;GS91;92;91.95736434108527;91.6023166023166;91.77949709864603;97.63689493075847
10;T100:GS24;1302;Test;2110;99.59662574232068;99.29147051783292;99.44381402931164;99.86344714038805
10;T100:GS24;1302;GS91;92;94.58015267175573;93.82809541840213;94.20262307546095;98.70784612777496
1;T100:GS12;1170;Test;2110;99.46852283637361;99.10999504603768;99.28893528540992;99.8141895034511
1;T100:GS12;1170;GS91;92;95.39347408829175;92.86248131539611;94.11096383260747;98.88866021815188
2;T100:GS12;1170;Test;2110;99.44692829938731;99.30550962365236;99.37616864957887;99.84064701102629
2;T100:GS12;1170;GS91;92;92.92114695340501;92.92114695340501;92.92114695340501;98.17076634664545
3;T100:GS12;1170;Test;2110;99.5210098841773;99.26022976017383;99.39044876409888;99.8393364144221
3;T100:GS12;1170;GS91;92;94.65095194922938;92.5531914893617;93.59031824294038;98.14492405595246
4;T100:GS12;1170;Test;2110;99.48593511278871;99.29852888410477;99.39214365881033;99.83943362970699
4;T100:GS12;1170;GS91;92;94.8917748917749;93.27659574468085;94.07725321888411;98.47195261559902
5;T100:GS12;1170;Test;2110;99.53452030655163;99.23756484842457;99.38582075925834;99.84489015063426
5;T100:GS12;1170;GS91;92;94.91083079599825;93.97071490094746;94.43843323955853;98.70566653077863
6;T100:GS12;1170;Test;2110;99.5481655521417;99.25624979522296;99.40199335548174;99.85137821515312
6;T100:GS12;1170;GS91;92;94.95694956949569;93.19919517102616;94.06986190089359;98.80178953510989
7;T100:GS12;1170;Test;2110;99.44057785017358;99.4765862891943;99.45857881051904;99.87731878883639
7;T100:GS12;1170;GS91;92;91.66293142088749;93.85039008719596;92.7437641723356;98.55598946508037
8;T100:GS12;1170;Test;2110;99.51766529105505;99.36886029731374;99.44320712694878;99.85067624263532
8;T100:GS12;1170;GS91;92;92.03849518810149;90.572535514421;91.29963115643307;97.82663762095343
9;T100:GS12;1170;Test;2110;99.42164124052051;99.41137419783138;99.41650745409882;99.8750570144002
9;T100:GS12;1170;GS91;92;91.30643611911623;91.74710424710425;91.52623976889744;97.62419006479482
10;T100:GS12;1170;Test;2110;99.59559469957323;99.43030399744674;99.5128807116733;99.88607589998088
10;T100:GS12;1170;GS91;92;94.86496766831495;94.43392654297614;94.64895635673624;98.83494322996103
1;T100:GS6;1104;Test;2110;99.4591541581803;99.26886349271426;99.36391771967922;99.83744488474633
1;T100:GS6;1104;GS91;92;95.13574660633483;94.28251121076234;94.7072072072072;99.00185223296974
2;T100:GS6;1104;Test;2110;99.52295766249254;99.35180898207553;99.43730967827352;99.86422367518092
