Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;Synth100:GS00;1038;Test;2110;97.64558611701763;97.27361246348588;97.4592443626717;99.27629253409239
1;Synth100:GS00;1038;GS91;92;88.49864917020456;85.68759342301944;87.07043857983673;97.36571310969336
2;Synth100:GS00;1038;Test;2110;95.24302815048672;95.77849064091541;95.51000890413218;98.78643331382645
2;Synth100:GS00;1038;GS91;92;78.84108867427568;80.46594982078852;79.64523281596453;94.1771288984832
3;Synth100:GS00;1038;Test;2110;97.77781387566804;96.17492450508892;96.96974578728614;99.17317531340642
3;Synth100:GS00;1038;GS91;92;88.5181550539745;79.9645390070922;84.0242198416395;95.26925616857778
4;Synth100:GS00;1038;Test;2110;95.6636634506243;96.76892716182275;96.21312118725697;98.9370751426099
4;Synth100:GS00;1038;GS91;92;81.07553366174056;84.04255319148936;82.53238612620143;95.59006520332487
5;Synth100:GS00;1038;Test;2110;96.64626435328039;95.00273482173934;95.8174523570712;98.88132231695064
5;Synth100:GS00;1038;GS91;92;84.40325497287523;80.40482342807924;82.35553595059551;95.6532816958826
6;Synth100:GS00;1038;Test;2110;96.91412651589643;96.87919792929458;96.89665907489636;99.19223640100174
6;Synth100:GS00;1038;GS91;92;83.63345338135254;84.10462776659959;83.86837881219904;96.5026259482591
7;Synth100:GS00;1038;Test;2110;96.51760196917384;96.16492469755575;96.34094057120244;99.1159736254387
7;Synth100:GS00;1038;GS91;92;83.93113342898135;80.54153281321707;82.20140515222482;96.05394605394605
8;Synth100:GS00;1038;Test;2110;96.00575061056934;96.36964270190384;96.18735249201723;98.96894426750156
8;Synth100:GS00;1038;GS91;92;81.64359088878965;78.69134739560913;80.14028934677772;94.7971021834946
9;Synth100:GS00;1038;Test;2110;96.23645666867037;96.83558309360478;96.53509029942937;99.17508307812601
9;Synth100:GS00;1038;GS91;92;82.66208251473476;81.22586872586872;81.93768257059396;94.70207089315208
10;Synth100:GS00;1038;Test;2110;97.7977280461521;96.30575281257481;97.04600640005147;99.2567622926835
10;Synth100:GS00;1038;GS91;92;88.09620872401142;81.82506626277926;84.84491558696507;96.39891543806135
1;Synth100:GS02;1060;Test;2110;97.24332313614958;96.65692956832197;96.94923966588135;99.14350430689662
1;Synth100:GS02;1060;GS91;92;86.4149474503698;82.95964125560538;84.65204957102002;97.02270700418467
2;Synth100:GS02;1060;Test;2110;97.95377545201436;96.57054037965473;97.2572399207314;99.28028022549395
2;Synth100:GS02;1060;GS91;92;84.7535697835099;82.43727598566308;83.57937769702475;95.34738396864171
3;Synth100:GS02;1060;Test;2110;98.13753581661892;97.40840749676451;97.77161231346575;99.40517680148645
3;Synth100:GS02;1060;GS91;92;88.99858956276445;83.9095744680851;86.3791923340178;95.98967401092634
4;Synth100:GS02;1060;Test;2110;97.74260649362395;96.94474345174022;97.34204008106283;99.25649190671952
